Node,Kcores,Participated,Avg_Cascade_Size
336224,2,0,0.0
215086,20,0,0.0
151094,2,0,0.0
59378,2,0,0.0
8547,1,0,0.0
336217,2,0,0.0
112748,18,0,0.0
93236,2,0,0.0
76426,1,0,0.0
69281,1,0,0.0
336216,2,0,0.0
318189,2,0,0.0
310693,2,0,0.0
289544,2,0,0.0
279379,2,0,0.0
231580,2,0,0.0
228973,2,0,0.0
195282,2,0,0.0
188532,2,0,0.0
138540,2,0,0.0
94395,2,0,0.0
88283,2,0,0.0
85449,2,0,0.0
83356,2,0,0.0
80505,14,0,0.0
71599,2,0,0.0
67960,2,0,0.0
63361,2,0,0.0
35569,2,0,0.0
27608,2,0,0.0
336215,2,0,0.0
221629,15,0,0.0
167208,1,0,0.0
336214,2,0,0.0
304998,2,0,0.0
280355,2,0,0.0
257604,11,0,0.0
213392,2,0,0.0
188499,2,0,0.0
150312,2,0,0.0
103017,2,0,0.0
59475,2,0,0.0
57026,1,0,0.0
7609,2,0,0.0
336201,2,0,0.0
253822,2,0,0.0
336200,29,0,0.0
336191,29,0,0.0
336169,2,0,0.0
335438,5,0,0.0
335381,7,0,0.0
335272,2,0,0.0
334821,6,0,0.0
334292,2,0,0.0
334153,7,0,0.0
333914,30,0,0.0
333520,17,0,0.0
333434,7,0,0.0
333413,2,0,0.0
333248,1,0,0.0
332738,6,0,0.0
332678,4,0,0.0
332211,17,0,0.0
331861,2,0,0.0
330595,6,0,0.0
330401,8,0,0.0
330208,30,0,0.0
328770,6,0,0.0
328387,29,0,0.0
327579,4,0,0.0
327385,2,0,0.0
327267,25,0,0.0
327205,6,0,0.0
326891,29,0,0.0
324953,11,0,0.0
324819,2,0,0.0
324438,8,0,0.0
324212,3,0,0.0
322928,6,0,0.0
322918,2,0,0.0
322863,2,0,0.0
322741,2,0,0.0
322734,12,0,0.0
322070,6,0,0.0
322025,2,0,0.0
321735,30,0,507.5
321583,2,0,0.0
320994,5,0,0.0
320958,7,0,0.0
320922,7,0,0.0
319788,8,0,0.0
319719,6,0,0.0
319399,24,0,0.0
317856,4,0,0.0
317281,4,0,0.0
316913,5,0,0.0
315577,2,0,0.0
315341,6,0,0.0
315266,4,0,0.0
315194,2,0,0.0
314945,4,0,0.0
314829,6,0,0.0
