,1246573330,318,1
0,1246603391,399,1
1,1246573479,1749,1
2,1246599553,1964,1
3,1246568035,4362,1
4,1246570119,4610,1
5,1246629888,4611,1
6,1246566556,4868,1
7,1246572458,5333,1
8,1246572681,5941,1
9,1246570958,6069,1
10,1246630875,6133,1
11,1246625158,6648,1
12,1246597021,6979,1
13,1246674892,7255,1
14,1246572719,7465,1
15,1246576265,7808,1
16,1246594233,8682,1
17,1246575452,9609,1
18,1246620061,10095,1
19,1246570818,10730,1
20,1246580498,10878,1
21,1246570139,12692,1
22,1246626335,14076,1
23,1246564961,14204,1
24,1246572474,15139,1
25,1246576656,15197,1
26,1246585787,15241,1
27,1246580927,15353,1
28,1246573899,15398,1
29,1246563734,16255,1
30,1246572485,16339,1
31,1246564720,17483,1
32,1246570202,17995,1
33,1246570989,18079,1
34,1246617985,20076,1
35,1246570581,20319,1
36,1246570544,20408,1
37,1246649923,20413,1
38,1246596426,20447,1
39,1246657514,21291,1
40,1246574147,21584,1
41,1246572143,22322,1
42,1246570528,24271,1
43,1246570782,24531,1
44,1246570634,24867,1
45,1246564734,24916,1
46,1246625034,25440,1
47,1246572273,25795,1
48,1246589266,26056,1
49,1246593661,26212,1
50,1246571857,26687,1
51,1246574894,26712,1
52,1246625992,27241,1
53,1246570655,27501,1
54,1246586315,28329,1
55,1246571851,30561,1
56,1246574709,31529,1
57,1246577939,32266,1
58,1246605018,33217,1
59,1246571992,33448,1
60,1246571055,33601,1
61,1246592032,33844,1
62,1246576631,34065,1
63,1246683580,34090,1
64,1246564739,34102,1
65,1246570254,34277,1
66,1246566193,35478,1
67,1246571070,35780,1
68,1246590486,36128,1
69,1246573074,37251,1
70,1246577667,38479,1
71,1246565210,39072,1
72,1246646637,39082,1
73,1246569797,39277,1
74,1246571505,39861,1
75,1246573246,40514,1
76,1246566352,42086,1
77,1246571197,42510,1
78,1246571282,43968,1
79,1246587604,44249,1
80,1246589039,46192,1
81,1246571257,46773,1
82,1246733570,47092,1
83,1246603316,47178,1
84,1246564958,47279,1
85,1246577983,48041,1
86,1246643851,49203,1
87,1246761654,49496,1
88,1246571682,49809,1
89,1246572065,50151,1
90,1246570990,50325,1
91,1246602921,50354,1
92,1246572253,50541,1
93,1246571847,51394,1
94,1246564730,51930,1
95,1246570312,52812,1
96,1246730167,54089,1
97,1246579469,54148,1
98,1246575752,55401,1
99,1246574471,55943,1
100,1246578177,57021,1
101,1246574235,57659,1
102,1246594582,58770,1
103,1246581666,59477,1
104,1246575369,59559,1
105,1246577784,59733,1
106,1246569788,59974,1
107,1246571597,60375,1
108,1246655816,60532,1
109,1246703226,60650,1
110,1246577938,61504,1
111,1246575550,62310,1
112,1246592262,62336,1
113,1246574124,63191,1
114,1246572814,63463,1
115,1246572238,63501,1
116,1246575030,63681,1
117,1246618612,63846,1
118,1246563674,65398,1
119,1246579749,65426,1
120,1246619187,65437,1
121,1246569749,67072,1
122,1246576232,67461,1
123,1246569724,67573,1
124,1246569889,67659,1
125,1246570368,67965,1
126,1246599715,68728,1
127,1246571023,68762,1
128,1246572428,68860,1
129,1246568397,69010,1
130,1246574897,69463,1
131,1246648538,70073,1
132,1246565268,70227,1
133,1246572575,70725,1
134,1246609731,71535,1
135,1246684946,72457,1
136,1246569958,72878,1
137,1246571450,73484,1
138,1246576071,74755,1
139,1246586466,76456,1
140,1246619089,77147,1
141,1246571894,77360,1
142,1246570502,78352,1
143,1246774879,79810,1
144,1246691575,81078,1
145,1246570057,81192,1
146,1246576784,81502,1
147,1246599610,81531,1
148,1246571805,82806,1
149,1246567588,83605,1
150,1246565656,83820,1
151,1246566846,84544,1
152,1246587879,84586,1
153,1246571707,84744,1
154,1246571118,85561,1
155,1246569963,86031,1
156,1246598345,87349,1
157,1246563235,87621,1
158,1246619735,88038,1
159,1246570484,88159,1
160,1246570087,88479,1
161,1246574504,88924,1
162,1246625860,89059,1
163,1246575963,89801,1
164,1246699597,89875,1
165,1246564723,90015,1
166,1246571408,90125,1
167,1246565561,90782,1
168,1246637387,92387,1
169,1246568305,92965,1
170,1246588696,93206,1
171,1246572245,93357,1
172,1246569802,93874,1
173,1246615529,96744,1
174,1246565751,97411,1
175,1246580278,98211,1
176,1246572497,98304,1
177,1246576717,99161,1
178,1246639018,99340,1
179,1246579190,101035,1
180,1246572944,102431,1
181,1246571377,102719,1
182,1246592618,104341,1
183,1246570605,104603,1
184,1246570722,105175,1
185,1246571086,105421,1
186,1246571074,105893,1
187,1246570332,105998,1
188,1246572155,106712,1
189,1246581642,107787,1
190,1246627424,108231,1
191,1246583622,109731,1
192,1246570195,110457,1
193,1246586694,110510,1
194,1246590165,110772,1
195,1246579002,111161,1
196,1246571324,111575,1
197,1246599003,111858,1
198,1246574624,112430,1
199,1246575364,112510,1
200,1246569967,112648,1
201,1246574291,112734,1
202,1246575210,113052,1
203,1246579657,114161,1
204,1246569828,114176,1
205,1246565352,114229,1
206,1246574631,114469,1
207,1246571480,115093,1
208,1246570213,115516,1
209,1246572585,116041,1
210,1246574171,118283,1
211,1246571301,119258,1
212,1246617777,119434,1
213,1246637690,120744,1
214,1246566488,121618,1
215,1246569712,121834,1
216,1246572761,122934,1
217,1246566688,123445,1
218,1246704976,126245,1
219,1246563674,126941,1
220,1246570749,127128,1
221,1246571422,128587,1
222,1246573381,128649,1
223,1246599607,129317,1
224,1246572266,129511,1
225,1246565047,129538,1
226,1246574507,130275,1
227,1246603248,130430,1
228,1246571506,131507,1
229,1246591000,132039,1
230,1246568324,132083,1
231,1246575103,132526,1
232,1246771829,132808,1
233,1246566789,132886,1
234,1246564620,133093,1
235,1246597857,133639,1
236,1246587413,134141,1
237,1246575177,135239,1
238,1246575208,135890,1
239,1246571523,136432,1
240,1246573697,136850,1
241,1246590465,136856,1
242,1246564705,136877,1
243,1246563896,136919,1
244,1246735346,137623,1
245,1246593858,138252,1
246,1246569552,138533,1
247,1246584732,138676,1
248,1246621761,138945,1
249,1246568710,139037,1
250,1246570471,139523,1
251,1246572283,139609,1
252,1246574664,139645,1
253,1246570463,140315,1
254,1246583813,141921,1
255,1246569703,142597,1
256,1246571293,142870,1
257,1246661824,143375,1
258,1246570478,143577,1
259,1246596990,144022,1
260,1246574633,144213,1
261,1246585834,145703,1
262,1246566987,146286,1
263,1246650409,146424,1
264,1246612726,146436,1
265,1246570429,146747,1
266,1246693991,147926,1
267,1246652842,149094,1
268,1246574401,151173,1
269,1246580011,151685,1
270,1246571865,151897,1
271,1246570127,152005,1
272,1246570722,152813,1
273,1246577315,153393,1
274,1246581380,153809,1
275,1246566517,154305,1
276,1246733497,154447,1
277,1246569951,154528,1
278,1246570076,155773,1
279,1246575153,156454,1
280,1246570583,156722,1
281,1246573880,157314,1
282,1246570057,157383,1
283,1246570859,157748,1
284,1246589985,158639,1
285,1246595474,158710,1
286,1246570209,159354,1
287,1246589024,159970,1
288,1246643201,160024,1
289,1246585579,160584,1
290,1246619687,161154,1
291,1246572019,163656,1
292,1246570093,164992,1
293,1246605376,165186,1
294,1246571910,165190,1
295,1246570653,165191,1
296,1246617221,166449,1
297,1246567162,166895,1
298,1246628874,167462,1
299,1246574729,168082,1
300,1246727659,168173,1
301,1246582135,169666,1
302,1246620087,169845,1
303,1246570628,170060,1
304,1246571620,170132,1
305,1246577959,170587,1
306,1246571769,170804,1
307,1246576285,171089,1
308,1246572656,171260,1
309,1246575087,172281,1
310,1246634682,173182,1
311,1246574696,173476,1
312,1246570131,173723,1
313,1246586141,174192,1
314,1246616195,174212,1
315,1246574791,174639,1
316,1246582684,176080,1
317,1246564437,176328,1
318,1246576231,176617,1
319,1246570030,177329,1
320,1246578199,178958,1
321,1246594414,179737,1
322,1246570128,180119,1
323,1246570511,180500,1
324,1246581155,180593,1
325,1246585341,180649,1
326,1246570486,181079,1
327,1246571533,182063,1
328,1246583688,183142,1
329,1246571519,183609,1
330,1246573520,184438,1
331,1246570126,184490,1
332,1246570038,184695,1
333,1246572028,184904,1
334,1246629754,186847,1
335,1246572833,187393,1
336,1246573043,188034,1
337,1246565756,188222,1
338,1246571168,189303,1
339,1246565768,189807,1
340,1246587317,189936,1
341,1246609636,189953,1
342,1246565845,190285,1
343,1246688033,192981,1
344,1246570864,193374,1
345,1246572514,193509,1
346,1246576133,193619,1
347,1246572506,193821,1
348,1246564756,194180,1
349,1246580234,194720,1
350,1246564866,195039,1
351,1246569842,195325,1
352,1246600094,197143,1
353,1246570306,197955,1
354,1246571187,198083,1
355,1246591882,198287,1
356,1246649047,199201,1
357,1246563078,199749,1
358,1246566962,199941,1
359,1246596931,200275,1
360,1246570139,200313,1
361,1246599733,200317,1
362,1246595808,202320,1
363,1246589795,202506,1
364,1246588780,202540,1
365,1246570237,203117,1
366,1246618923,203163,1
