%CPU	%MEM
99.40	541.07
100.00	541.07
99.40	592.76
100.00	449.36
99.40	585.67
100.00	556.87
99.40	557.05
100.00	557.05
99.40	557.05
100.00	557.05
99.40	458.67
100.00	547.71
99.50	658.47
100.00	445.39
100.00	509.56
101.00	513.42
100.00	518.54
101.00	519.49
101.00	520.24
102.00	520.50
102.00	520.50
103.00	521.23
103.00	521.23
104.00	521.23
103.00	521.23
104.00	521.75
104.00	521.75
105.00	536.57
105.00	536.57
106.00	536.57
105.00	537.08
106.00	537.08
106.00	537.08
107.00	537.08
106.00	537.08
107.00	537.08
107.00	537.08
108.00	537.08
108.00	537.08
109.00	539.85
108.00	539.85
108.00	539.85
109.00	539.85
108.00	539.85
109.00	539.85
109.00	539.85
110.00	539.85
110.00	539.85
110.00	539.85
110.00	539.85
111.00	539.85
111.00	539.85
111.00	539.85
111.00	543.20
112.00	543.20
112.00	543.20
112.00	543.20
112.00	543.20
113.00	543.20
113.00	543.20
113.00	543.20
113.00	543.20
114.00	543.20
113.00	543.20
114.00	543.20
114.00	543.20
115.00	544.86
114.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
117.00	544.86
116.00	544.86
117.00	544.86
117.00	544.86
117.00	544.86
116.00	544.86
117.00	544.86
116.00	544.86
117.00	544.86
116.00	544.86
117.00	544.86
116.00	544.86
117.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
116.00	544.86
115.00	544.86
116.00	544.86
115.00	544.86
116.00	544.86
115.00	544.86
116.00	544.86
115.00	544.86
116.00	544.86
115.00	544.86
116.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
115.00	544.86
114.00	544.86
115.00	544.86
114.00	544.86
115.00	544.86
114.00	544.86
115.00	544.86
114.00	544.86
115.00	544.86
114.00	544.86
115.00	544.86
114.00	544.86
115.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
114.00	544.86
113.00	544.86
114.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
113.00	544.86
112.00	544.86
113.00	544.86
112.00	544.86
113.00	544.86
112.00	544.86
113.00	544.86
112.00	544.86
113.00	544.86
112.00	544.86
113.00	544.86
112.00	544.86
113.00	544.86
112.00	544.86
113.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
112.00	544.86
111.00	544.86
112.00	544.86
111.00	544.86
112.00	544.86
111.00	544.86
112.00	544.86
111.00	544.86
112.00	544.86
111.00	544.86
112.00	544.86
111.00	544.86
112.00	544.86
111.00	544.86
112.00	544.86
111.00	544.86
112.00	544.86
111.00	544.86
111.00	544.86
111.00	544.86
111.00	544.86
111.00	544.86
111.00	544.86
111.00	544.86
111.00	522.95
111.00	668.56
111.00	503.20
111.00	513.45
111.00	523.45
111.00	533.45
111.00	543.45
111.00	553.45
111.00	563.45
111.00	598.87
111.00	887.15
111.00	1005.15
111.00	881.10
111.00	800.59
111.00	800.59
111.00	800.59
111.00	800.59
111.00	800.59
111.00	800.59
111.00	506.14
111.00	506.14
111.00	506.14
111.00	506.14
111.00	506.14
111.00	509.14
%CPU	%MEM
111.00	532.51
112.00	537.34
111.00	537.34
112.00	537.34
112.00	537.34
113.00	537.34
112.00	537.34
113.00	537.34
113.00	537.34
114.00	537.34
113.00	537.34
114.00	537.34
114.00	537.34
114.00	537.34
114.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
116.00	540.63
115.00	540.63
116.00	540.63
116.00	540.63
117.00	540.63
116.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
118.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
117.00	540.63
116.00	540.63
117.00	540.63
116.00	540.63
117.00	540.63
116.00	540.63
117.00	540.63
116.00	540.63
117.00	540.63
116.00	540.63
117.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
116.00	540.63
115.00	540.63
116.00	540.63
115.00	540.63
116.00	540.63
115.00	540.63
116.00	540.63
115.00	540.63
116.00	540.63
115.00	540.63
116.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
115.00	540.63
114.00	540.63
115.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
114.00	540.63
113.00	540.63
114.00	540.63
113.00	540.63
114.00	540.63
113.00	540.63
114.00	540.63
113.00	540.63
114.00	540.63
113.00	540.63
114.00	540.63
113.00	540.63
114.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
113.00	540.63
112.00	540.63
113.00	540.63
112.00	540.63
113.00	540.63
112.00	540.63
113.00	540.63
112.00	540.63
113.00	540.63
112.00	540.63
113.00	540.63
112.00	540.63
113.00	540.63
112.00	540.63
113.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
112.00	540.63
111.00	540.63
112.00	540.63
111.00	540.63
111.00	540.63
111.00	540.63
111.00	540.63
